"Szamlaazon","Datum","Szamlaszam","Perertek","Datumtol","Datumig","Vevoazon","Nyomtatva","Tipus","Masikszamla","Fizhatido","Teljesitve","Fizetesmod","Szoveg1","Szoveg2","Masikszamlaperertek","SzamlaszamStr","Elotag","Szlahely","Kiegybizsz","S1","S2","N1","N2","NullaErtek","NullaAfa","NullaOsszes","12Ertek","12Afa","12Osszes","25Ertek","25Afa","25Osszes","AMErtek","AMAfa","AMOsszes","MindErtek","MindAfa","MindOsszes","Azon","SzallitoNeve","SzallitVaros","SzallitoUtca","VevoNeve","VevoVaros","VevoUtca","AdoSzam","BankSzamla","PeldanyNev"
"13210","2017-01-30 00:00:00","37","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","16","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 37/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13211","2017-01-30 00:00:00","38","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","274","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 38/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13212","2017-01-30 00:00:00","39","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","53","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 39/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13213","2017-01-30 00:00:00","40","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","303","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 40/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13214","2017-01-30 00:00:00","41","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","304","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 41/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13215","2017-01-31 00:00:00","42","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","115","2017-01-30 00:00:00","1","0","2017-01-31 00:00:00","","Készpénz","","",""," 42/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13216","2017-01-31 00:00:00","43","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","305","2017-01-30 00:00:00","1","0","2017-02-08 00:00:00","","Átutalás","","",""," 43/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13217","2017-01-31 00:00:00","44","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","108","2017-01-30 00:00:00","1","0","2017-02-08 00:00:00","","Átutalás","","",""," 44/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13218","2017-01-31 00:00:00","45","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","162","2017-01-30 00:00:00","1","0","2017-02-10 00:00:00","","Átutalás","","",""," 45/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13219","2017-01-31 00:00:00","46","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","111","2017-01-30 00:00:00","1","0","2017-02-08 00:00:00","","Átutalás","","",""," 46/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13220","2017-01-31 00:00:00","47","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","124","2017-01-30 00:00:00","1","0","2017-01-31 00:00:00","","Készpénz","","",""," 47/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13221","2017-01-31 00:00:00","48","/2017","2017-01-22 00:00:00","2017-01-28 00:00:00","19","2017-01-30 00:00:00","1","0","2017-01-31 00:00:00","","Készpénz","","",""," 48/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13222","2017-02-01 00:00:00","49","/2017","2017-02-01 00:00:00","2017-02-01 00:00:00","8","2017-02-02 00:00:00","1","0","2017-02-01 00:00:00","","Készpénz","Visszáru számla","",""," 49/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13223","2017-02-06 00:00:00","50","/2017","2017-01-31 00:00:00","2017-02-04 00:00:00","256","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 50/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13224","2017-02-06 00:00:00","51","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","8","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 51/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13225","2017-02-06 00:00:00","52","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","16","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 52/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13226","2017-02-06 00:00:00","53","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","274","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 53/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13227","2017-02-06 00:00:00","54","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","53","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 54/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
